iter,buffer_size,mean_R,mean_raw_R,mean_oracle_raw_R,mean_len,mean_T,success_rate,q_loss,pi_loss,alpha,entropy,wall,reasons
8030,200000,0.8364496231079102,0.44071631066732725,0.5031071371765539,52.98291015625,130.890625,0.1689453125,0.009866833686828613,-0.785041868686676,0.0028415091801434755,-6.173283576965332,22638.49573612213,pos_err_exceeded:1305|max_steps:346|joint_limit:296|self_collision:70
8040,200000,0.7880127429962158,0.4261773688163637,0.5444257611002885,50.48779296875,132.75,0.18994140625,0.011092737317085266,-0.762249231338501,0.0028402560856193304,-6.020499229431152,22667.17747449875,pos_err_exceeded:1275|max_steps:389|joint_limit:323|self_collision:61
8050,200000,0.8192845582962036,0.4022776727101173,0.48031167439488714,57.98291015625,151.59375,0.1259765625,0.0107650738209486,-0.7285252213478088,0.002835968742147088,-6.001522064208984,22694.629121541977,pos_err_exceeded:1283|joint_limit:393|max_steps:258|self_collision:95
8060,200000,0.7376543283462524,0.35639831139329436,0.46189516756895543,45.11181640625,143.609375,0.15576171875,0.01114899106323719,-0.7415397763252258,0.002836256753653288,-5.9294538497924805,22722.879759073257,pos_err_exceeded:1302|max_steps:319|joint_limit:312|self_collision:82
8070,200000,0.7849760055541992,0.4587920727250734,0.5528532429010853,52.9814453125,138.65625,0.23388671875,0.013253040611743927,-0.7497498989105225,0.0028330034110695124,-5.858527183532715,22751.929633140564,pos_err_exceeded:1175|max_steps:479|joint_limit:321|self_collision:59
8080,200000,0.8181127309799194,0.44730648818517466,0.5361432954326629,56.9130859375,136.21875,0.18115234375,0.009864194318652153,-0.7471948862075806,0.002833553124219179,-5.946877956390381,22779.66622209549,pos_err_exceeded:1244|max_steps:371|joint_limit:321|self_collision:112
8090,200000,0.8182951211929321,0.5146496524903053,0.5875542795660027,71.36669921875,149.9375,0.19970703125,0.00995158962905407,-0.7652604579925537,0.002833196660503745,-5.8859758377075195,22808.22763442993,pos_err_exceeded:1121|max_steps:409|joint_limit:335|self_collision:102
8100,200000,0.7944662570953369,0.33275073955760953,0.42594020542246736,45.31884765625,141.296875,0.09326171875,0.010403450578451157,-0.7565265893936157,0.002834036946296692,-6.20651912689209,22836.248478651047,pos_err_exceeded:1271|joint_limit:502|max_steps:191|self_collision:73
8110,200000,0.7721110582351685,0.5165061456436597,0.6214826561158275,63.849609375,135.734375,0.2421875,0.005378208123147488,-0.7400943636894226,0.002831508172675967,-5.888491630554199,22863.382148981094,pos_err_exceeded:1156|max_steps:496|joint_limit:287|self_collision:109
8120,200000,0.8007625341415405,0.4433079740508491,0.518303711496457,51.13427734375,129.5,0.22216796875,0.005502091720700264,-0.7301504611968994,0.002829598495736718,-5.844761848449707,22890.430196285248,pos_err_exceeded:1179|max_steps:455|joint_limit:248|init_ik_fail:93
8130,200000,0.7922579050064087,0.44829499427123776,0.5389112381150107,59.52734375,142.015625,0.12353515625,0.011710546910762787,-0.7499144077301025,0.002829591743648052,-5.910327911376953,22919.27534389496,pos_err_exceeded:1372|joint_limit:347|max_steps:253|init_ik_fail:40
8140,200000,0.7942888140678406,0.41186852936372,0.5023847740377814,48.3984375,138.09375,0.1474609375,0.0074931904673576355,-0.7678830027580261,0.0028285328298807144,-6.185704231262207,22947.899787902832,pos_err_exceeded:1320|joint_limit:363|max_steps:302|self_collision:63
8150,200000,0.810746967792511,0.44459916621162104,0.5053847101347306,54.8603515625,143.15625,0.18798828125,0.012866370379924774,-0.7471770644187927,0.0028290669433772564,-5.841835021972656,22975.85224533081,pos_err_exceeded:1130|max_steps:385|joint_limit:344|self_collision:162
8160,200000,0.7300273180007935,0.3720953928294328,0.45433494627500504,43.78955078125,134.859375,0.169921875,0.011168891564011574,-0.7506910562515259,0.002835846971720457,-6.104342937469482,23003.705570697784,pos_err_exceeded:1146|joint_limit:387|max_steps:348|self_collision:163
8170,200000,0.7986750602722168,0.474202663103794,0.5559359639986583,55.77734375,139.609375,0.25634765625,0.006222681142389774,-0.7690756320953369,0.0028399850707501173,-6.22585916519165,23031.956268310547,pos_err_exceeded:1145|max_steps:525|joint_limit:255|self_collision:92
8180,200000,0.7862951159477234,0.43283335381359644,0.4913459255277031,46.65771484375,134.84375,0.22314453125,0.010251592844724655,-0.7473881244659424,0.0028481329791247845,-5.927783012390137,23059.05885529518,pos_err_exceeded:1057|max_steps:457|joint_limit:380|self_collision:136
8190,200000,0.8122122287750244,0.4461927624839156,0.5476215184687795,57.38037109375,143.0,0.18212890625,0.0063937208615243435,-0.7825506329536438,0.002855030819773674,-5.67001485824585,23087.07089328766,pos_err_exceeded:1292|max_steps:373|joint_limit:256|self_collision:123
